n,avgHeight
50,9.850000
100,12.020000
150,13.550000
200,14.790000
250,15.640000
300,16.400000
350,16.980000
400,17.440000
450,17.930000
500,18.370000
550,18.670000
600,18.990000
650,19.540000
700,19.730000
750,19.850000
800,20.270000
850,20.580000
900,20.490000
950,20.750000
1000,21.240000
1050,21.210000
1100,21.830000
1150,21.700000
1200,21.600000
1250,21.770000
1300,22.160000
1350,22.180000
1400,21.990000
1450,22.550000
1500,22.740000
1550,22.590000
1600,22.660000
1650,23.190000
1700,23.020000
1750,23.470000
1800,23.500000
1850,23.430000
1900,23.410000
1950,23.550000
2000,24.190000
2050,23.580000
2100,23.830000
2150,24.070000
2200,24.490000
2250,24.240000
2300,24.420000
2350,24.690000
2400,24.950000
2450,24.480000
2500,24.290000
2550,24.970000
2600,24.510000
2650,24.810000
2700,25.260000
2750,25.200000
2800,25.120000
2850,24.820000
2900,25.010000
2950,25.360000
3000,25.150000
3050,25.340000
3100,25.600000
3150,25.290000
3200,25.580000
3250,25.910000
3300,25.800000
3350,25.710000
3400,25.730000
3450,26.200000
3500,25.730000
3550,26.230000
3600,25.780000
3650,25.940000
3700,26.180000
3750,26.480000
3800,25.950000
3850,26.240000
3900,26.260000
3950,26.230000
4000,26.500000
4050,27.020000
4100,27.000000
4150,26.460000
4200,26.910000
4250,26.750000
4300,26.990000
4350,26.650000
4400,26.840000
4450,27.000000
4500,27.240000
4550,27.260000
4600,26.920000
4650,27.300000
4700,27.330000
4750,27.330000
4800,27.590000
4850,27.470000
4900,27.190000
4950,27.480000
5000,27.050000
