n,avgTimeNano
10,3736.00
110,14792.00
210,29836.00
310,44118.00
410,17860.00
510,13050.00
610,15694.00
710,12154.00
810,16296.00
910,16686.00
1010,11276.00
1110,11268.00
1210,13934.00
1310,15328.00
1410,17352.00
1510,15240.00
1610,17976.00
1710,17126.00
1810,17214.00
1910,18596.00
2010,25054.00
2110,28732.00
2210,29016.00
2310,42012.00
2410,33976.00
2510,32426.00
2610,29826.00
2710,32608.00
2810,30684.00
2910,37124.00
3010,40696.00
3110,35480.00
3210,31786.00
3310,36110.00
3410,36094.00
3510,40974.00
3610,47290.00
3710,44340.00
3810,45784.00
3910,38444.00
4010,43116.00
4110,39364.00
4210,45258.00
4310,47236.00
4410,50154.00
4510,41926.00
4610,46048.00
4710,44988.00
4810,50702.00
4910,50534.00
5010,75048.00
5110,77210.00
5210,75006.00
5310,57686.00
5410,59842.00
5510,60950.00
5610,57162.00
5710,83534.00
5810,100966.00
5910,78432.00
6010,78836.00
6110,79786.00
6210,72782.00
6310,64296.00
6410,74310.00
6510,78820.00
6610,77126.00
6710,78136.00
6810,74416.00
6910,83272.00
7010,103000.00
7110,78676.00
7210,84516.00
7310,79640.00
7410,76240.00
7510,82188.00
7610,87578.00
7710,82986.00
7810,88560.00
7910,118660.00
8010,109958.00
8110,98574.00
8210,108720.00
8310,89900.00
8410,98262.00
8510,114798.00
8610,110492.00
8710,94212.00
8810,102042.00
8910,107736.00
9010,121224.00
9110,107484.00
9210,113610.00
9310,94906.00
9410,98442.00
9510,106134.00
9610,113600.00
9710,111672.00
9810,100588.00
9910,96520.00
